SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
b	418583	10620635	25 San Pablo Ave	SF - St. Francis Wood	CA	94127	37.73978806	-122.4611206	SFR	1349000	1350000	3	2	1518	(null)	4565	(null)	"1 Garage Space, Detached"	(null)	Washer/Dryer	1923	(null)	Y	(null)	English	Central Heat	(null)	(null)	Hardwood	(null)	"Bay Window(s), Smoke Alarm(s)"	0	0	0	0	49	"Saint francis wood charming english inspired residence. Main level features a light filled living room with an exquisite bay window and a wood burning fireplace, formal dining room and eat-in kitchen. Mezzanine features two bedrooms opening to a lovely secluded garden plus one full bath. Upper level boasts a spacious bedroom and a full bath. In addition, the lower level offers a den/office with possible room to expand. Much sought after location ,3 bedrooms + den,2 bathrooms,hardwood floors throughout *wonderful natural light *lovely secluded garden, *exquisite detailing *close to shopping, restaurants, & transportation in west portal village,easy access to 101 and 280 + west portal station"
d	40660472	3936354	4235 Clarinbridge Cir	Dublin	CA	94568	37.707115	-121.867618	TOWNHOUSE	486000	476000	2	2.5	1401	Tile	(null)	"Community Facility, Pool"	"1 Garage Space, Attached Garage"	(null)	"220 Volt Outlet, In Laundry Room"	2004	3	Y	Regular	Mediterranean	Forced Air 1 Zone	Ceiling Fan(s)	Stucco	"Tile, Wall to Wall Carpet"	235	(null)	1	0	0	0	42	"Wonderful strasburg model townhome in the villas at dublin ranch villages*home shows great with hardwood floors, granite counters, custom lighting, and so much more!Large covered patio perfect for entertaining*upgraded throughout w/ lots of charm*fantastic amenities w/ gym, pool, spa & clubhouse*"
d	40671441	4029884	3890 Mission Ct	Oakley	CA	94561	37.980545	-121.692963	SFR	369000	360000	4	2	2012	Tile	6220	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"Hookups Only, In Laundry Room"	1995	1	Y	"Cul-de-sac, Level, Regular"	Contemporary	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	"Stucco, Wood Siding"	"Tile, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	-3	"4 bd, 2 ba single story home, court location, no HOA/Melloroos, Upgraded with granite counters in kitchen and bath, newer flooring and paint."
a	81424460	11637117	465 Mccamish Avenue	San Jose - Blossom Valley	CA	95123	37.234756	-121.818428	SFR	675000	705000	3	2	1380	Composition	7425	"In Ground Concrete, Sweep, No Heat, Pool"	"Attached, 2 Car Garage"	"Mountains, Neighborhood"	220 Volt Outlet	1969	(null)	Y	Level	"Ranch, Contemporary"	Central Forced Air	(null)	"Brick, Stucco"	"Tile, Hardwood, Linoleum or Vinyl"	(null)	"Window Covering(s), Double Pane Window(s), High Ceiling, Vaulted Ceiling, Ceiling Fan(s)"	1	0	0	0	29	"Indoor/outdoor living at its best! Abundant windows! Vaulted Ceilings! Foothill Views! Bright kitchen with bead board cabinets with pull outs, granite counters and glass tile backsplash, overlooks amazing backyard with spacious patio, grass area and sparkling swimming pool! Mahogany floors throughout! Updated bathrooms! Gas fireplace with remote control! Master bedroom with backyard views!"
d	40657147	4228695	3382 Moraga Blvd	Lafayette	CA	94549	37.891078	-122.107845	SFR	849000	957000	2	2	1165	Composition Shingles	12600	(null)	"1 Garage Space, Attached Garage"	(null)	(null)	1941	1	Y	Premium Lot	Bungalow	Forced Air 1 Zone	(null)	(null)	Hardwood Floors	(null)	(null)	0	0	0	0	39	"Great 2 bdroom 2 bath + office with large lot, easy to grow! Charming home ready to move right in open sat and sun may 17/18 1-4and 6/1 1-4"
a	81422240	11678078	2110 Gullane Way	Gilroy	CA	95020	37.002541	-121.606773	SFR	660000	675000	5	3.5	2594	Tile	4000	"In Ground Concrete, Community Pool(s), Pool"	"Attached, 2 Car Garage"	"Green Belt, Mountains, Golf Course"	"In Laundry Room, 220 Volt Outlet"	2003	(null)	Y	"Cul-de-sac, Level"	(null)	Central Forced Air	Central Air	(null)	"Tile, Wall to Wall Carpet, Linoleum or Vinyl"	220	"Security Fence, Double Pane Window(s), High Ceiling, Cable TV Available"	1	0	0	0	53	"Fantastic price! Premium larger lot backs to golf course & open space. Huge side yard backs to park area. Driveway does not back another driveway. New sod in nice private backyard. Open kitchen w bar and family room. High ceilings, lg master shower and sep tub & double sinks. Fantastic price! Open house 7-13 cancelled. Wonderful family home for the large or small family. Gated community!"
a	81415099	3874399	620 Pinot Blanc Way	Fremont	CA	94539	37.46651459	-121.9083405	SFR	1198000	1320000	4	3	2404	Composition	6576	(null)	"Attached, Electric Door or Gate Opener, 3 Or More Car Garage"	Mountains	"220 Volts In Kitchen, 220 Volts In Laundry Area, Laundry Area - Inside"	1987	(null)	Y	(null)	Contemporary	"More than One Heating Zone, Central Forced Air"	No Cooling	Wood	"Tile, Laminate, Wall to Wall Carpet, Linoleum or Vinyl"	(null)	"Double Pane Window(s), Garden House Window(s), Skylight(s), Vaulted or Cathedral Ceiling, Built-In Vacuum, Ceiling Fan(s), Window Coverings"	0	0	0	0	32	"Spectacular scott creek terrace semi custom!Elegant&sophisticated!Remodeled kit,granite slab counters/tile backsplash*recessed lighting,breakfst bar,nook*formal liv/din rm,sep fam rm*2 firepl,newer fixtures,coppr plumbing,mbd w/french door to balcony*huge lot,pristine landscape,aggregate,brick accent*redwood deck,shed/playhouse,newer roof,3car finished gar*serene setting,mtn views*warm springs sch"
a	81418507	11496271	1745 Sweetbriar Drive	San Jose - Willow Glen	CA	95125	37.28158951	-121.9112396	SFR	1349000	1325000	4	2.5	2245	"Shingle, Shake"	12650	"In Ground Concrete, Solar Heated, Pool"	"Attached, Gate/Door Opener, 2 Car Garage"	Neighborhood	In Laundry Room	1963	(null)	Y	Level	Ranch	Central Forced Air	Central Air	"Wood, Stucco"	"Tile, Laminate, Wall to Wall Carpet"	(null)	"Security Alarm - Leased, Double Pane Window(s), Intercom, Ceiling Fan(s)"	1	0	0	0	36	"Here is a rare opportunity to be in one of willow glen's most desirable neighborhoods!Meticulously maintained one owner ranch style home on a 12,650 sf lot!Exceptional space for indoor&outdoor entertaining*eat in kitchen w adjoining family rm*huge living rm w fireplace*master suite w his&hers closets*pristine classic bath*new windows*wonderful yard with remodeled pool&covered patio&large lawn area"
d	40656422	3751771	5252 Katrina Ct	Castro Valley	CA	94546	37.71019363	-122.0601044	SFR	649000	712000	4	3	1650	(null)	8308	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	Bay	"Hookups Only, In Laundry Room"	1955	(null)	Y	Cul-de-sac	Contemporary	"Forced Air 1 Zone, Gas"	"Ceiling Fan(s), Central 1 Zone A/C"	"Stucco, Wood Shingles"	"Hardwood Floors, Laminate, Tile"	(null)	(null)	0	0	0	0	35	"See forever from 2014kit remodel. Enjoy view through wall of windows overlooking private spacious rear yd. Attention to upgrade details throughout.Practical & convenient master suite built ins, rarely available 2nd oversized master.Life style hideaway options for 2nd Master abound FR, in law, office"
a	81414272	11555569	15610 El Gato Lane	Los Gatos/Monte Sereno	CA	95032	37.24200821	-121.9479294	SFR	1099000	1099000	3	2	1375	Composition	8056	(null)	1 Car Garage	Neighborhood	(null)	1955	(null)	(null)	Level	(null)	Central Forced Air	Central Air	Stucco	(null)	(null)	(null)	0	0	0	0	37	(null)
a	81412063	11061315	736 Toulouse Court	Half Moon Bay	CA	94019	37.487181	-122.44261	SFR	829000	880000	3	2	1790	Shingle	7575	(null)	"Attached, 2 Car Garage"	"Mountains, Neighborhood"	(null)	1975	(null)	Y	"Court, Cul-de-sac"	(null)	Central Forced Air	No Cooling	(null)	"Area Carpeting, Granite"	(null)	(null)	0	0	0	0	32	"Newly upgraded Frenchman's creek home located on quiet cul de sac with no rear neighbors. Walking distance to the beach, biking and hiking trails. High ceilings, large windows that brighten house surrounded by stunning views. New deck, fences, flooring, carpets, new paint inside & out, stainless steel appliances, new furnace, custom master bathroom and so much more!"
c	21410114	7051614	57 Prince Royal Dr	Corte Madera	CA	94925	37.91902924	-122.5023956	CONDO	659000	649000	4	2.5	1500	(null)	2662	"Community Facility, Community Pool"	"1 Car, Garage, Attached"	(null)	Washer/Dryer Stacked	1966	2	Y	Level	Contemporary	Central Heat	Central Air	(null)	"Laminate, Part Carpet"	601	PG&E	0	0	0	0	57	"Where else will you find another 4BR/2.5BA townhome with a garage in Tiburon's Reed school district? Enjoy carefree living in this 2-story townhome. Relax on the back deck and patio area with its built-in planter boxes. Community pool, clubhouse & playground. From here it's easy to take the Larkspur ferry or the short drive over the Golden Gate Bridge to S.F. Close to the best shopping in Marin, the Bay & the center of all that Marin has to offer"
a	81415726	11284597	320 Webster Street	Palo Alto	CA	94301	37.45067215	-122.1602783	SFR	1699000	2200000	3	1.5	1316	Shake	4400	(null)	Off Street Parking	(null)	Laundry Area - Inside	1999	(null)	(null)	(null)	Traditional	Central Forced Air	No Cooling	Shingle	"Tile, Wall to Wall Carpet, Hardwood"	(null)	"Cable TV available, Ceiling Fan(s), Window Coverings"	0	0	0	0	26	"Nestled in a friendly neighborhood in downtown Palo Alto, this captivating Craftsman bungalow gracefully integrates timeless architectural details with today?s modern style. Tastefully appointed with an open floor plan, the home incorporates three bedrooms,one and a half bathrooms, a chef?s kitchen and a dining area, ideal for family gatherings. Stunning gardens! Exceptional Palo Alto Schools!"
b	419110	10542385	2250 Hyde #3	SF - Russian Hill	CA	94109	37.80154109	-122.4194674	CONDO	1295000	1400000	2	2	1274	(null)	(null)	(null)	"1 Garage Space, Attached"	"Bay, San Francisco, Downtown"	Washer/Dryer	1925	(null)	(null)	(null)	Traditional	Steam	(null)	Stucco	Partial Hardwood	1034	(null)	0	0	0	0	67	Full Floor unit on 3rd floor of sophisticated six unit co-op building. Just steps away from the curvy portion of Lombard St. Panoramic views from LR show Alcatraz to Downtown to Bay Bridge. Dining Room opens to flexible alcove area with its own views. 2 bedrooms each with an en-suite bathroom. Compact and stylish kitchen. Elevator building. 1 car parking and separate storage room. On site staff. This is a non-smoking building.
a	81418115	11258690	243 Berrendo Drive	Milpitas	CA	95035	37.44860077	-121.9052353	SFR	875000	865000	4	2.5	2097	Composition	6000	(null)	"Attached, 2 Car Garage"	Neighborhood	"In Laundry Room, Hookup - Gas Dryer, 220 Volt Outlet"	1978	(null)	Y	Level	Contemporary	Central Forced Air	(null)	Stucco	"Area Carpeting, Hardwood"	(null)	"Double Pane Window(s), High Ceiling, Vaulted Ceiling, Cable TV Available, Skylight(s), Skylight Tube(s)"	0	0	0	0	66	"Quality tri level shapell in great neighborhood of Milpitas. Approximately 2097 sq feet living space ,4 bedrooms and 2 1/2 baths. Laminate wood floors in the family room with fire place, quality carpet through all floors. Corian kitchen counter tops and oak cabinets ,double pane windows. New fiber glass front door, solid oak stairs and railing,new garage door opener ,new roof & appliances."
a	81412709	85401700	120 North Idaho Street	San Mateo	CA	94401	37.5745697	-122.3199921	SFR	499000	625000	3	1	1260	Composition	7850	(null)	"Attached, Guest Parking, 2 Car Garage, Off Street Parking"	Neighborhood	"Laundry Area - In Garage, Dryer Included, Washer Included"	1952	(null)	Y	Level	Ranch	Central Forced Air	No Cooling	"Wood, Stucco"	"Tile, Linoleum or Vinyl"	(null)	Cable TV available	0	0	0	0	18	"Move-in condition to this spacious ranch-style home in vibrant neighborhood with 3 large bedrooms and 1 updated bath/1260 sf on level 7850 sq.ft. lot zoned R3. New interior paint. Refinished hardwood floors, charming eat-in kitchen."
b	423148	10597415	1938 45th Ave	SF - Outer Parkside	CA	94116	37.75040054	-122.5038223	SFR	668000	735000	2	1	1162	"Composition, Tar & Gravel"	3000	(null)	"2 Garage Spaces, Attached, Garage, Paved Driveway"	(null)	"Laundry Room, Hookups Only, In Basement"	1946	(null)	Y	Level	English	"Central Heat, Gas, Wall Furnace(s)"	(null)	Stucco	"Wall to Wall Carpet, Linoleum"	(null)	"Smoke Alarm(s), Security Gate"	0	0	0	0	30	"Outer Sunset home-English tunnel entrance. Living room with fireplace, dining room, kitchen, two bedrooms and a full bath. Parking for two cars,room for expansion. Walking distance to schools, public transportation, restaurants, and library."
a	81414087	11100253	307 Santa Clara Avenue	Redwood City	CA	94061	37.45142365	-122.22612	SFR	1300000	1350000	3	2.5	2000	Composition	10500	"In Ground Concrete, Solar Heated, Pool"	"Attached, Gate/Door Opener, Guest Parking, 2 Car Garage"	Neighborhood	In Garage	1956	(null)	Y	Level	Ranch	Central Forced Air	(null)	"Wood, Brick"	Hardwood	(null)	Central Vacuum	1	0	0	0	42	"This home will bring out the entertainer in you with it's new gourmet kitchen, open floor plan and fantastic backyard that has a pool, patio and lawn area. There is a separate studio w/half bath and wet bar (not included in the sq ft) to be used as an office, guest room, pool or recreation room. Recently remodeled and looking fabulous, you must see it to appreciate it."
a	81342615	11530611	247 North Capitol Avenue #155	San Jose - East Valley	CA	95127	37.3684082	-121.8418732	CONDO	270000	280000	2	1	828	(null)	1742	(null)	"1 Car Carport, Electric Door or Gate Opener, Guest Parking"	(null)	(null)	1977	(null)	(null)	(null)	(null)	Central Forced Air	No Cooling	(null)	"Area Carpeting, Laminate"	242	"Balcony or Patio, Cable TV available"	0	0	0	0	146	"Beautiful condo perfect for first time home buyer or invester, kitchen has been remodeled, new floors, countertops, cabinets. Conveniently located near highway 680, stores and restaurants. A must see!"
d	40648941	4266144	50 Glenwood	Hercules	CA	94547	38.00823614	-122.2822563	CONDO	225000	236000	2	2	968	Composition Shingles	(null)	"Community Facility, Pool"	"1 Carport, Guest Parking, Area"	City Lights	"Hookups Only, In Closet"	1985	1	Y	Irregular	Contemporary	Forced Air 1 Zone	Ceiling Fan(s)	Stucco	"Laminate, Tile"	317	Security Alarm System - Leased	0	0	0	0	77	"Location. Property awaits your visit. Spacious Living room~dining room combo, with adjoining double sliding door which leads to balcony with privacy of trees and manicure landscaping. Baths area with with marble flooring. Master Bedroom has a true walk in closet. Closet for fuller size washer~dryer..."
d	40656964	4013019	2531 Foghorn Way	Discovery Bay	CA	94514	37.89148331	-121.6256409	SFR	365000	355000	4	2.5	2078	Tile	4800	(null)	"3 Garage Spaces, Attached Garage, Garage Parking, Interior Access From Garage, Garage Door Opener"	(null)	"Gas Dryer Hookups, Hookups Only, In Laundry Room"	1997	2	Y	"Level, Regular"	Contemporary	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	"Stucco, Wood Siding"	"Laminate, Tile, Wall to Wall Carpet"	(null)	Window Coverings	0	0	0	0	52	"Pacific Waterways in Disco Bay! Vaulted ceilings, easy care wood laminate floors, slate tile kitchen floors, Anderson window french door to back yard, amazing wall mirror above pellet stove fireplace ( saves in PG&E costs!), cat walk style stairway, 3 car tandem garage, water softener. Open/bright."
d	40662591	4238635	1107 Larch Avenue	Moraga	CA	94556	37.825207	-122.122833	SFR	1150000	1175000	4	2	2342	Composition Shingles	10000	(null)	"2 Garage Spaces, Attached Garage, Enclosed Garage, Interior Access From Garage, RV / Boat Parking, Garage Door Opener"	Wooded	"220 Volt Outlet, Hookups Only, In Closet"	1960	1	Y	"Corner, Level, Premium Lot, Secluded"	Ranch	Forced Air 1 Zone	Central 1 Zone A/C	"Brick, Wood Siding"	"Hardwood Floors, Tile, Wall to Wall Carpet"	(null)	"DSL/Modem Line, Window Coverings"	0	0	0	0	46	Bright and airy ranch property on an enchanting 0.23 acre wooded corner lot. This sprawling ppty enjoys privacy and the verdant beauty that newly installed landscaping affords. Kitchen has been remodeled & includes several new sleek stainless steel appliances. Large Family Room. Remodelled MBR Suite
d	40653436	4293973	2635 Yuba St	El Cerrito	CA	94530	37.93773651	-122.3182755	SFR	619000	700500	4	2.5	1842	(null)	3536	(null)	"2 Garage Spaces, Attached Garage, Interior Access From Garage, Garage Door Opener"	(null)	"Dryer, In Laundry Room, Washer"	1952	3	Y	"Downslope, Secluded"	Contemporary	"Electric, Forced Air 1 Zone, Gas"	(null)	"Brick, Stucco, Vinyl Siding"	"Hardwood Floors, Tile, Wall to Wall Carpet"	(null)	"Security Alarm System - Owned, Window Coverings"	0	0	0	0	38	"Fabulous 50`s Contemporary in sylvan setting bordered by a gurgling stream~~ just blocks from Bart. Open flowing public spaces w\ bamboo floors, modern sunlit kitchen, LR & DR w\fireplace, glass doors to 4 private decks~ one at each level including the Master Retreat w\ dressing rm & divided bath..."
d	40649197	3693386	1616 Cornell Drive	Alameda	CA	94501	37.76165771	-122.2290115	SFR	798000	835000	3	1	1487	Metal	4040	(null)	"1 Garage Space, Attached Garage"	(null)	"220 Volt Outlet, In Laundry Room"	1929	(null)	Y	"Corner, Level"	Tudor	Gas	(null)	Stucco	Hardwood Floors	1	(null)	0	0	0	0	56	"Story Book Tudor Revival in the Prestigious Fernside District on a Covet Corner Lot.This split level home has fantastic curb appeal w/freshly painted walkways,lush landscaping,steep pitched roofs & castle like front porch.LR w/fireplace & box beam wood ceiling,DR w/china hutch,sunny breakfast nook."
c	21407165	7057169	334 Donahue St	Sausalito	CA	94965	37.87664413	-122.5171356	CONDO	679000	680000	3	3	1667	(null)	701	(null)	(null)	Bay	(null)	1979	3	Y	(null)	Traditional	Baseboard Heaters	(null)	Wood Siding	(null)	518	(null)	0	0	0	0	69	"Remodeled unit in desirable Headlands Community with dynamite bay views. 3 bedrooms, 3 bathrooms, living room with corner fireplace, dining area, kitchen with stainless steel appliances: refrigerator, electric range with microwave hood, dishwasher. 1 car parking."
